Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,LCSC,Stock,Price,Process,Minimum Qty,Attrition Qty,Class,Category,Manufacturer,Part,Voltage Rated,Tolerance,Capacitance,Temperature Coefficient,Height,Mouser Part Number,Mouser Price/Stock,Manufacturer_Name,Resistance,Power(Watts),Type,Overload Voltage (Max),Operating Temperature Range,Number Of Outputs,Output Voltage,Dropout Voltage,Output Current,Output Type,Maximum Input Voltage,Output Polarity,Feature
"C1, C2",2,1uF,C_0402,,,,smt,25V 1uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C52923,7796525,0.006USD,SMT,20,10,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",Samsung Electro-Mechanics,CL05A105KA5NQNC,25V,±10%,1uF,X5R,,,,,,,,,,,,,,,,,
C3,1,10uF,C_0603,,,,smt,25V 10uF X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C96446,4331263,0.017USD,SMT,20,8,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",Samsung Electro-Mechanics,CL10A106MA8NRNC,25V,±20%,10uF,X5R,,,,,,,,,,,,,,,,,
C4,1,4.7uF,C_0603,,,,smt,16V 4.7uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C19666,2453279,0.013USD,SMT,20,10,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",Samsung Electro-Mechanics,CL10A475KO8NNNC,16V,±10%,4.7uF,X5R,,,,,,,,,,,,,,,,,
C5,1,100nF,C_0402,,,,smt,16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C1525,13104064,0.004USD,SMT,20,10,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",Samsung Electro-Mechanics,CL05B104KO5NNNC,16V,±10%,100nF,X7R,,,,,,,,,,,,,,,,,
"H1, H2",2,~,"Hole, 3mm",,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC2,1,VL53L5CXV0GC_1,VL53L5CXV0GC1,,VL53L5CXV0GC/1,,smt,Proximity Sensors Time-of-Flight 8x8 multizone ranging sensor with wide field of view,,,,,,,,,,,,,,,1.55,511-VL53L5CXV0GC/1,https://www.mouser.co.uk/ProductDetail/STMicroelectronics/VL53L5CXV0GC-1?qs=QNEnbhJQKvZPmRJw6ASPyw%3D%3D,STMicroelectronics,,,,,,,,,,,,,
J1,1,5V_In,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J2,1,Conn_01x12_MountingPin,Hirose_FH12-12S-0.5SH_1x12-1MP_P0.50mm_Horizontal,,,,smt,"Generic connectable mounting pin connector, single row, 01x12, script generated (kicad-library-utils/schlib/autogen/connector/)",C88360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J3,1,Conn_01x07,PinHeader_1x07_P1.00mm_Vertical,,,,tht,"Generic connector, single row, 01x07, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"R1, R2",2,2.2kΩ,R_0402,,,,tht,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 2.2kΩ 0402 Chip Resistor - Surface Mount ROHS,C25879,903036,0.004USD,SMT,20,10,Basic Component,"Resistors,Chip Resistor - Surface Mount",UNI-ROYAL(Uniroyal Elec),0402WGF2201TCE,,±1%,,±100ppm/°C,,,,,2.2kΩ,62.5mW,Thick Film Resistors,50V,-55°C~+155°C,,,,,,,,
"R4, R7, R8, R9",4,47kΩ,R_0402,,,,tht,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 47kΩ 0402 Chip Resistor - Surface Mount ROHS,C25792,1796042,0.004USD,SMT,20,10,Basic Component,"Resistors,Chip Resistor - Surface Mount",UNI-ROYAL(Uniroyal Elec),0402WGF4702TCE,,±1%,,±100ppm/°C,,,,,47kΩ,62.5mW,Thick Film Resistors,50V,-55°C~+155°C,,,,,,,,
U1,1,XC6206P332MR,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,,,,smt,"200mA Fixed 3.3V Positive electrode 6V SOT-23-3L Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",C5446,403960,0.093USD,SMT,5,2,Basic Component,"Power Management ICs,Linear Voltage Regulators (LDO)",Torex Semicon,XC6206P332MR-G,,,,,,,,,,,,,,1,3.3V,680mV@(100mA),200mA,Fixed,6V,Positive electrode,Low ESR;Overcurrent Protection(OCP)
