Designator,Quantity,Value,Footprint,Package,MPN,DNP,Mount_Type,Description,LCSC,Stock,Price,Process,Minimum Qty,Attrition Qty,Class,Category,Manufacturer,Part,Voltage Rated,Tolerance,Capacitance,Temperature Coefficient,Height,Mouser Part Number,Mouser Price/Stock,Manufacturer_Name,Resistance,Power(Watts),Type,Overload Voltage (Max),Operating Temperature Range,JCSC,Number Of Outputs,Output Voltage,Dropout Voltage,Output Current,Output Type,Output Polarity,Power Supply Rejection Ratio (Psrr),Feature
"C1, C2, C5",3,1uF,C_0402,,,,smt,25V 1uF X5R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C52923,7796525,0.006USD,SMT,20,10,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",Samsung Electro-Mechanics,CL05A105KA5NQNC,25V,±10%,1uF,X5R,,,,,,,,,,,,,,,,,,
"C10, C4, C7, C8, C9",5,100nF,C_0402,,,,smt,16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C1525,13104064,0.004USD,SMT,20,10,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",Samsung Electro-Mechanics,CL05B104KO5NNNC,16V,±10%,100nF,X7R,,,,,,,,,,,,,,,,,,
C3,1,10uF,C_0603,,,,smt,25V 10uF X5R ±20% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C96446,4331263,0.017USD,SMT,20,8,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",Samsung Electro-Mechanics,CL10A106MA8NRNC,25V,±20%,10uF,X5R,,,,,,,,,,,,,,,,,,
C6,1,4.7uF,C_0603,,,,smt,16V 4.7uF X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,C19666,2453279,0.013USD,SMT,20,10,Basic Component,"Capacitors,Multilayer Ceramic Capacitors MLCC - SMD/SMT",Samsung Electro-Mechanics,CL10A475KO8NNNC,16V,±10%,4.7uF,X5R,,,,,,,,,,,,,,,,,,
"H1, H2",2,~,"Hole, 3mm",,,,tht,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IC1,1,TXB0108RGYR,SN74LVC541ARGYR,,TXB0108RGYR,,smt,8-Bit Bidirectional Voltage-Level Shifter with Auto Direction Sensing and +/-15-kV ESD Protect,C194701,,,,,,,,,,,,,,1,595-TXB0108RGYR,https://www.mouser.co.uk/ProductDetail/Texas-Instruments/TXB0108RGYR?qs=oFXvjAmG9EjlwpBG6jCg6w%3D%3D,Texas Instruments,,,,,,,,,,,,,,
J1,1,5V_In,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,,,,tht,"Generic connector, single row, 01x02, script generated (kicad-library-utils/schlib/autogen/connector/)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
J2,1,Conn_01x12_MountingPin,Hirose_FH12-12S-0.5SH_1x12-1MP_P0.50mm_Horizontal,,,,smt,"Generic connectable mounting pin connector, single row, 01x12, script generated (kicad-library-utils/schlib/autogen/connector/)",C88360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PN1,1,~,Part_Num_JLCPCB,,,,tht,"To indicate the location, simply add the text ""JLCJLCJLCJLC"" to the silk layer and select the ""Specify a location"" option when placing your order. Please note that if this option is not chosen, we may not notice that you have added the text.   Note: Use only ""JLCJLCJLCJLC"" without any additional characters. The font size should be larger than 0.8mm in height and 0.15mm in width.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1,1,2.2kΩ,R_0402,,,Yes,tht,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 2.2kΩ 0402 Chip Resistor - Surface Mount ROHS,C25879,903036,0.004USD,SMT,20,10,Basic Component,"Resistors,Chip Resistor - Surface Mount",UNI-ROYAL(Uniroyal Elec),0402WGF2201TCE,,±1%,,±100ppm/°C,,,,,2.2kΩ,62.5mW,Thick Film Resistors,50V,-55°C~+155°C,,,,,,,,,
R2,1,2.2kΩ,R_0402,,,Yes,tht,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 2.2kΩ 0402 Chip Resistor - Surface Mount ROHS,C25879,903036,0.004USD,SMT,20,10,Basic Component,"Resistors,Chip Resistor - Surface Mount",UNI-ROYAL(Uniroyal Elec),0402WGF2201TCE,,±1%,,±100ppm/°C,,,,,2.2kΩ,62.5mW,Thick Film Resistors,50V,-55°C~+155°C,,,,,,,,,
"R3, R4, R5, R7, R8, R9",6,47kΩ,R_0402,,,,tht,62.5mW Thick Film Resistors 50V ±100ppm/°C ±1% 47kΩ 0402 Chip Resistor - Surface Mount ROHS,C25792,1796042,0.004USD,SMT,20,10,Basic Component,"Resistors,Chip Resistor - Surface Mount",UNI-ROYAL(Uniroyal Elec),0402WGF4702TCE,,±1%,,±100ppm/°C,,,,,47kΩ,62.5mW,Thick Film Resistors,50V,-55°C~+155°C,,,,,,,,,
U1,1,RT9013-18GB,SOT94P279X130-5N,,RT9013-18GB,,smt,"IC, LDO, FIXED, 1.8V, 0.5A, SOT-23-5; Output Type:Fixed; Input Voltage Min:2.2V; Input Voltage Max:5.5V; Fixed Output Voltage Nom.:1.8V; Adjustable Output Voltage Min:-; Adjustable Output Voltage Max:-; Output Current:500mA; Dropout RoHS Compliant: Yes",,,,,,,,,,,,,,,1.295,835-RT9013-18GB,https://www.mouser.co.uk/ProductDetail/Richtek/RT9013-18GB?qs=amGC7iS6iy%252Bp8NSjBMkogA%3D%3D,RICHTEK,,,,,,C22435116,,,,,,,,
